,0
"Alabama 2018 NA, bid 1",265922.0
"Alabama 2018 NA, bid 2",132961.0
"Alabama 2018 NA, bid 3",88640.66666666667
"Alabama 2018 NA, bid 4",66480.5
"Alabama 2018 NA, bid 5",53184.4
"Alabama 2018 NA, bid 6",44320.333333333336
"Alabama 2018 NA, bid 7",37988.857142857145
"Alabama 2018 democrat, bid 1",577299.0
"Alabama 2018 democrat, bid 2",288649.5
"Alabama 2018 democrat, bid 3",192433.0
"Alabama 2018 democrat, bid 4",144324.75
"Alabama 2018 democrat, bid 5",115459.8
"Alabama 2018 democrat, bid 6",96216.5
"Alabama 2018 democrat, bid 7",82471.28571428571
"Alabama 2018 republican, bid 1",816674.0
"Alabama 2018 republican, bid 2",408337.0
"Alabama 2018 republican, bid 3",272224.6666666667
"Alabama 2018 republican, bid 4",204168.5
"Alabama 2018 republican, bid 5",163334.8
"Alabama 2018 republican, bid 6",136112.33333333334
"Alabama 2018 republican, bid 7",116667.71428571429
"Alaska 2018 NA, bid 1",1188.0
"Alaska 2018 democrat, bid 1",131199.0
"Alaska 2018 republican, bid 1",149779.0
"Arizona 2018 NA, bid 1",448.0
"Arizona 2018 NA, bid 2",224.0
"Arizona 2018 NA, bid 3",149.33333333333334
"Arizona 2018 NA, bid 4",112.0
"Arizona 2018 NA, bid 5",89.6
"Arizona 2018 NA, bid 6",74.66666666666667
"Arizona 2018 NA, bid 7",64.0
"Arizona 2018 NA, bid 8",56.0
"Arizona 2018 NA, bid 9",49.77777777777778
"Arizona 2018 democrat, bid 1",1179193.0
"Arizona 2018 democrat, bid 2",589596.5
"Arizona 2018 democrat, bid 3",393064.3333333333
"Arizona 2018 democrat, bid 4",294798.25
"Arizona 2018 democrat, bid 5",235838.6
"Arizona 2018 democrat, bid 6",196532.16666666666
"Arizona 2018 democrat, bid 7",168456.14285714287
"Arizona 2018 democrat, bid 8",147399.125
"Arizona 2018 democrat, bid 9",131021.44444444444
"Arizona 2018 green, bid 1",22378.0
"Arizona 2018 green, bid 2",11189.0
"Arizona 2018 green, bid 3",7459.333333333333
"Arizona 2018 green, bid 4",5594.5
"Arizona 2018 green, bid 5",4475.6
"Arizona 2018 green, bid 6",3729.6666666666665
"Arizona 2018 green, bid 7",3196.8571428571427
"Arizona 2018 green, bid 8",2797.25
"Arizona 2018 green, bid 9",2486.4444444444443
"Arizona 2018 republican, bid 1",1139251.0
"Arizona 2018 republican, bid 2",569625.5
"Arizona 2018 republican, bid 3",379750.3333333333
"Arizona 2018 republican, bid 4",284812.75
"Arizona 2018 republican, bid 5",227850.2
"Arizona 2018 republican, bid 6",189875.16666666666
"Arizona 2018 republican, bid 7",162750.14285714287
"Arizona 2018 republican, bid 8",142406.375
"Arizona 2018 republican, bid 9",126583.44444444444
"Arkansas 2018 NA, bid 1",356.0
"Arkansas 2018 NA, bid 2",178.0
"Arkansas 2018 NA, bid 3",118.66666666666667
"Arkansas 2018 NA, bid 4",89.0
"Arkansas 2018 democrat, bid 1",312978.0
"Arkansas 2018 democrat, bid 2",156489.0
"Arkansas 2018 democrat, bid 3",104326.0
"Arkansas 2018 democrat, bid 4",78244.5
"Arkansas 2018 libertarian, bid 1",19625.0
"Arkansas 2018 libertarian, bid 2",9812.5
"Arkansas 2018 libertarian, bid 3",6541.666666666667
"Arkansas 2018 libertarian, bid 4",4906.25
"Arkansas 2018 republican, bid 1",556339.0
"Arkansas 2018 republican, bid 2",278169.5
"Arkansas 2018 republican, bid 3",185446.33333333334
"Arkansas 2018 republican, bid 4",139084.75
"California 2018 democrat, bid 1",16020890.0
"California 2018 democrat, bid 2",8010445.0
"California 2018 democrat, bid 3",5340296.666666667
"California 2018 democrat, bid 4",4005222.5
"California 2018 democrat, bid 5",3204178.0
"California 2018 democrat, bid 6",2670148.3333333335
"California 2018 democrat, bid 7",2288698.5714285714
"California 2018 democrat, bid 8",2002611.25
"California 2018 democrat, bid 9",1780098.888888889
"California 2018 democrat, bid 10",1602089.0
"California 2018 democrat, bid 11",1456444.5454545454
"California 2018 democrat, bid 12",1335074.1666666667
"California 2018 democrat, bid 13",1232376.1538461538
"California 2018 democrat, bid 14",1144349.2857142857
"California 2018 democrat, bid 15",1068059.3333333333
"California 2018 democrat, bid 16",1001305.625
"California 2018 democrat, bid 17",942405.2941176471
"California 2018 democrat, bid 18",890049.4444444445
"California 2018 democrat, bid 19",843204.7368421053
"California 2018 democrat, bid 20",801044.5
"California 2018 democrat, bid 21",762899.5238095238
"California 2018 democrat, bid 22",728222.2727272727
"California 2018 democrat, bid 23",696560.4347826086
"California 2018 democrat, bid 24",667537.0833333334
"California 2018 democrat, bid 25",640835.6
"California 2018 democrat, bid 26",616188.0769230769
"California 2018 democrat, bid 27",593366.2962962963
"California 2018 democrat, bid 28",572174.6428571428
"California 2018 democrat, bid 29",552444.4827586206
"California 2018 democrat, bid 30",534029.6666666666
"California 2018 democrat, bid 31",516802.9032258064
"California 2018 democrat, bid 32",500652.8125
"California 2018 democrat, bid 33",485481.51515151514
"California 2018 democrat, bid 34",471202.64705882355
"California 2018 democrat, bid 35",457739.71428571426
"California 2018 democrat, bid 36",445024.72222222225
"California 2018 democrat, bid 37",432997.02702702704
"California 2018 democrat, bid 38",421602.36842105264
"California 2018 democrat, bid 39",410792.0512820513
"California 2018 democrat, bid 40",400522.25
"California 2018 democrat, bid 41",390753.4146341463
"California 2018 democrat, bid 42",381449.7619047619
"California 2018 democrat, bid 43",372578.83720930235
"California 2018 democrat, bid 44",364111.13636363635
"California 2018 democrat, bid 45",356019.77777777775
"California 2018 democrat, bid 46",348280.2173913043
"California 2018 democrat, bid 47",340870.0
"California 2018 democrat, bid 48",333768.5416666667
"California 2018 democrat, bid 49",326956.9387755102
"California 2018 democrat, bid 50",320417.8
"California 2018 democrat, bid 51",314135.09803921566
"California 2018 democrat, bid 52",308094.03846153844
"California 2018 democrat, bid 53",302280.9433962264
"California 2018 green, bid 1",206958.0
"California 2018 green, bid 2",103479.0
"California 2018 green, bid 3",68986.0
"California 2018 green, bid 4",51739.5
"California 2018 green, bid 5",41391.6
"California 2018 green, bid 6",34493.0
"California 2018 green, bid 7",29565.428571428572
"California 2018 green, bid 8",25869.75
"California 2018 green, bid 9",22995.333333333332
"California 2018 green, bid 10",20695.8
"California 2018 green, bid 11",18814.363636363636
"California 2018 green, bid 12",17246.5
"California 2018 green, bid 13",15919.846153846154
"California 2018 green, bid 14",14782.714285714286
"California 2018 green, bid 15",13797.2
"California 2018 green, bid 16",12934.875
"California 2018 green, bid 17",12174.0
"California 2018 green, bid 18",11497.666666666666
"California 2018 green, bid 19",10892.526315789473
"California 2018 green, bid 20",10347.9
"California 2018 green, bid 21",9855.142857142857
"California 2018 green, bid 22",9407.181818181818
"California 2018 green, bid 23",8998.173913043478
"California 2018 green, bid 24",8623.25
"California 2018 green, bid 25",8278.32
"California 2018 green, bid 26",7959.923076923077
"California 2018 green, bid 27",7665.111111111111
"California 2018 green, bid 28",7391.357142857143
"California 2018 green, bid 29",7136.482758620689
"California 2018 green, bid 30",6898.6
"California 2018 green, bid 31",6676.064516129032
"California 2018 green, bid 32",6467.4375
"California 2018 green, bid 33",6271.454545454545
"California 2018 green, bid 34",6087.0
"California 2018 green, bid 35",5913.085714285714
"California 2018 green, bid 36",5748.833333333333
"California 2018 green, bid 37",5593.459459459459
"California 2018 green, bid 38",5446.263157894737
"California 2018 green, bid 39",5306.615384615385
"California 2018 green, bid 40",5173.95
"California 2018 green, bid 41",5047.756097560976
"California 2018 green, bid 42",4927.571428571428
"California 2018 green, bid 43",4812.976744186047
"California 2018 green, bid 44",4703.590909090909
"California 2018 green, bid 45",4599.066666666667
"California 2018 green, bid 46",4499.086956521739
"California 2018 green, bid 47",4403.36170212766
"California 2018 green, bid 48",4311.625
"California 2018 green, bid 49",4223.632653061224
"California 2018 green, bid 50",4139.16
"California 2018 green, bid 51",4058.0
"California 2018 green, bid 52",3979.9615384615386
"California 2018 green, bid 53",3904.867924528302
"California 2018 no party preference, bid 1",194404.0
"California 2018 no party preference, bid 2",97202.0
"California 2018 no party preference, bid 3",64801.333333333336
"California 2018 no party preference, bid 4",48601.0
"California 2018 no party preference, bid 5",38880.8
"California 2018 no party preference, bid 6",32400.666666666668
"California 2018 no party preference, bid 7",27772.0
"California 2018 no party preference, bid 8",24300.5
"California 2018 no party preference, bid 9",21600.444444444445
"California 2018 no party preference, bid 10",19440.4
"California 2018 no party preference, bid 11",17673.090909090908
"California 2018 no party preference, bid 12",16200.333333333334
"California 2018 no party preference, bid 13",14954.153846153846
"California 2018 no party preference, bid 14",13886.0
"California 2018 no party preference, bid 15",12960.266666666666
"California 2018 no party preference, bid 16",12150.25
"California 2018 no party preference, bid 17",11435.529411764706
"California 2018 no party preference, bid 18",10800.222222222223
"California 2018 no party preference, bid 19",10231.78947368421
"California 2018 no party preference, bid 20",9720.2
"California 2018 no party preference, bid 21",9257.333333333334
"California 2018 no party preference, bid 22",8836.545454545454
"California 2018 no party preference, bid 23",8452.347826086956
"California 2018 no party preference, bid 24",8100.166666666667
"California 2018 no party preference, bid 25",7776.16
"California 2018 no party preference, bid 26",7477.076923076923
"California 2018 no party preference, bid 27",7200.148148148148
"California 2018 no party preference, bid 28",6943.0
"California 2018 no party preference, bid 29",6703.586206896552
