,0
"Alabama 2016 NA, bid 1",3631.0
"Alabama 2016 NA, bid 2",1815.5
"Alabama 2016 NA, bid 3",1210.3333333333333
"Alabama 2016 NA, bid 4",907.75
"Alabama 2016 NA, bid 5",726.2
"Alabama 2016 NA, bid 6",605.1666666666666
"Alabama 2016 NA, bid 7",518.7142857142857
"Alabama 2016 democrat, bid 1",748709.0
"Alabama 2016 democrat, bid 2",374354.5
"Alabama 2016 democrat, bid 3",249569.66666666666
"Alabama 2016 democrat, bid 4",187177.25
"Alabama 2016 democrat, bid 5",149741.8
"Alabama 2016 democrat, bid 6",124784.83333333333
"Alabama 2016 democrat, bid 7",106958.42857142857
"Alabama 2016 republican, bid 1",1335104.0
"Alabama 2016 republican, bid 2",667552.0
"Alabama 2016 republican, bid 3",445034.6666666667
"Alabama 2016 republican, bid 4",333776.0
"Alabama 2016 republican, bid 5",267020.8
"Alabama 2016 republican, bid 6",222517.33333333334
"Alabama 2016 republican, bid 7",190729.14285714287
"Alaska 2016 NA, bid 1",706.0
"Alaska 2016 democrat, bid 1",36200.0
"Alaska 2016 independent, bid 1",45561.0
"Alaska 2016 libertarian, bid 1",90825.0
"Alaska 2016 republican, bid 1",138149.0
"Arizona 2016 NA, bid 1",962.0
"Arizona 2016 NA, bid 2",481.0
"Arizona 2016 NA, bid 3",320.6666666666667
"Arizona 2016 NA, bid 4",240.5
"Arizona 2016 NA, bid 5",192.4
"Arizona 2016 NA, bid 6",160.33333333333334
"Arizona 2016 NA, bid 7",137.42857142857142
"Arizona 2016 NA, bid 8",120.25
"Arizona 2016 NA, bid 9",106.88888888888889
"Arizona 2016 democrat, bid 1",1031245.0
"Arizona 2016 democrat, bid 2",515622.5
"Arizona 2016 democrat, bid 3",343748.3333333333
"Arizona 2016 democrat, bid 4",257811.25
"Arizona 2016 democrat, bid 5",206249.0
"Arizona 2016 democrat, bid 6",171874.16666666666
"Arizona 2016 democrat, bid 7",147320.7142857143
"Arizona 2016 democrat, bid 8",128905.625
"Arizona 2016 democrat, bid 9",114582.77777777778
"Arizona 2016 green, bid 1",138634.0
"Arizona 2016 green, bid 2",69317.0
"Arizona 2016 green, bid 3",46211.333333333336
"Arizona 2016 green, bid 4",34658.5
"Arizona 2016 green, bid 5",27726.8
"Arizona 2016 green, bid 6",23105.666666666668
"Arizona 2016 green, bid 7",19804.85714285714
"Arizona 2016 green, bid 8",17329.25
"Arizona 2016 green, bid 9",15403.777777777777
"Arizona 2016 independent, bid 1",83.0
"Arizona 2016 independent, bid 2",41.5
"Arizona 2016 independent, bid 3",27.666666666666668
"Arizona 2016 independent, bid 4",20.75
"Arizona 2016 independent, bid 5",16.6
"Arizona 2016 independent, bid 6",13.833333333333334
"Arizona 2016 independent, bid 7",11.857142857142858
"Arizona 2016 independent, bid 8",10.375
"Arizona 2016 independent, bid 9",9.222222222222221
"Arizona 2016 none, bid 1",45.0
"Arizona 2016 none, bid 2",22.5
"Arizona 2016 none, bid 3",15.0
"Arizona 2016 none, bid 4",11.25
"Arizona 2016 none, bid 5",9.0
"Arizona 2016 none, bid 6",7.5
"Arizona 2016 none, bid 7",6.428571428571429
"Arizona 2016 none, bid 8",5.625
"Arizona 2016 none, bid 9",5.0
"Arizona 2016 republican, bid 1",1359761.0
"Arizona 2016 republican, bid 2",679880.5
"Arizona 2016 republican, bid 3",453253.6666666667
"Arizona 2016 republican, bid 4",339940.25
"Arizona 2016 republican, bid 5",271952.2
"Arizona 2016 republican, bid 6",226626.83333333334
"Arizona 2016 republican, bid 7",194251.57142857142
"Arizona 2016 republican, bid 8",169970.125
"Arizona 2016 republican, bid 9",151084.55555555556
"Arkansas 2016 NA, bid 1",1070.0
