,0
"Arizona 2018 NA, bid 1",566.0
"Arizona 2018 NA, bid 2",283.0
"Arizona 2018 NA, bid 3",188.66666666666666
"Arizona 2018 NA, bid 4",141.5
"Arizona 2018 NA, bid 5",113.2
"Arizona 2018 NA, bid 6",94.33333333333333
"Arizona 2018 NA, bid 7",80.85714285714286
"Arizona 2018 NA, bid 8",70.75
"Arizona 2018 NA, bid 9",62.888888888888886
"Arizona 2018 democrat, bid 1",1191100.0
"Arizona 2018 democrat, bid 2",595550.0
"Arizona 2018 democrat, bid 3",397033.3333333333
"Arizona 2018 democrat, bid 4",297775.0
"Arizona 2018 democrat, bid 5",238220.0
"Arizona 2018 democrat, bid 6",198516.66666666666
"Arizona 2018 democrat, bid 7",170157.14285714287
"Arizona 2018 democrat, bid 8",148887.5
"Arizona 2018 democrat, bid 9",132344.44444444444
"Arizona 2018 green, bid 1",57442.0
"Arizona 2018 green, bid 2",28721.0
"Arizona 2018 green, bid 3",19147.333333333332
"Arizona 2018 green, bid 4",14360.5
"Arizona 2018 green, bid 5",11488.4
"Arizona 2018 green, bid 6",9573.666666666666
"Arizona 2018 green, bid 7",8206.0
"Arizona 2018 green, bid 8",7180.25
"Arizona 2018 green, bid 9",6382.444444444444
"Arizona 2018 republican, bid 1",1135200.0
"Arizona 2018 republican, bid 2",567600.0
"Arizona 2018 republican, bid 3",378400.0
"Arizona 2018 republican, bid 4",283800.0
"Arizona 2018 republican, bid 5",227040.0
"Arizona 2018 republican, bid 6",189200.0
"Arizona 2018 republican, bid 7",162171.42857142858
"Arizona 2018 republican, bid 8",141900.0
"Arizona 2018 republican, bid 9",126133.33333333333
"California 2018 democrat, bid 1",11113364.0
"California 2018 democrat, bid 2",5556682.0
"California 2018 democrat, bid 3",3704454.6666666665
"California 2018 democrat, bid 4",2778341.0
"California 2018 democrat, bid 5",2222672.8
"California 2018 democrat, bid 6",1852227.3333333333
"California 2018 democrat, bid 7",1587623.4285714286
"California 2018 democrat, bid 8",1389170.5
"California 2018 democrat, bid 9",1234818.2222222222
"California 2018 democrat, bid 10",1111336.4
"California 2018 democrat, bid 11",1010305.8181818182
"California 2018 democrat, bid 12",926113.6666666666
"California 2018 democrat, bid 13",854874.1538461539
"California 2018 democrat, bid 14",793811.7142857143
"California 2018 democrat, bid 15",740890.9333333333
"California 2018 democrat, bid 16",694585.25
"California 2018 democrat, bid 17",653727.2941176471
"California 2018 democrat, bid 18",617409.1111111111
"California 2018 democrat, bid 19",584913.8947368421
"California 2018 democrat, bid 20",555668.2
"California 2018 democrat, bid 21",529207.8095238095
"California 2018 democrat, bid 22",505152.9090909091
"California 2018 democrat, bid 23",483189.73913043475
"California 2018 democrat, bid 24",463056.8333333333
"California 2018 democrat, bid 25",444534.56
"California 2018 democrat, bid 26",427437.07692307694
"California 2018 democrat, bid 27",411606.0740740741
"California 2018 democrat, bid 28",396905.85714285716
"California 2018 democrat, bid 29",383219.4482758621
"California 2018 democrat, bid 30",370445.4666666667
"California 2018 democrat, bid 31",358495.6129032258
"California 2018 democrat, bid 32",347292.625
"California 2018 democrat, bid 33",336768.6060606061
"California 2018 democrat, bid 34",326863.64705882355
"California 2018 democrat, bid 35",317524.6857142857
"California 2018 democrat, bid 36",308704.55555555556
"California 2018 democrat, bid 37",300361.1891891892
"California 2018 democrat, bid 38",292456.94736842107
"California 2018 democrat, bid 39",284958.0512820513
"California 2018 democrat, bid 40",277834.1
"California 2018 democrat, bid 41",271057.65853658534
"California 2018 democrat, bid 42",264603.90476190473
"California 2018 democrat, bid 43",258450.32558139536
"California 2018 democrat, bid 44",252576.45454545456
"California 2018 democrat, bid 45",246963.64444444445
"California 2018 democrat, bid 46",241594.86956521738
"California 2018 democrat, bid 47",236454.55319148937
"California 2018 democrat, bid 48",231528.41666666666
"California 2018 democrat, bid 49",226803.3469387755
"California 2018 democrat, bid 50",222267.28
"California 2018 democrat, bid 51",217909.0980392157
"California 2018 democrat, bid 52",213718.53846153847
"California 2018 democrat, bid 53",209686.11320754717
"Connecticut 2018 NA, bid 1",88.0
"Connecticut 2018 NA, bid 2",44.0
"Connecticut 2018 NA, bid 3",29.333333333333332
"Connecticut 2018 NA, bid 4",22.0
"Connecticut 2018 NA, bid 5",17.6
"Connecticut 2018 democrat, bid 1",787685.0
"Connecticut 2018 democrat, bid 2",393842.5
"Connecticut 2018 democrat, bid 3",262561.6666666667
"Connecticut 2018 democrat, bid 4",196921.25
"Connecticut 2018 democrat, bid 5",157537.0
"Connecticut 2018 green, bid 1",6618.0
"Connecticut 2018 green, bid 2",3309.0
"Connecticut 2018 green, bid 3",2206.0
"Connecticut 2018 green, bid 4",1654.5
