,0
"Alabama 2012 , bid 1",4011.0
"Alabama 2012 , bid 2",2005.5
"Alabama 2012 , bid 3",1337.0
"Alabama 2012 , bid 4",1002.75
"Alabama 2012 , bid 5",802.2
"Alabama 2012 , bid 6",668.5
"Alabama 2012 , bid 7",573.0
"Alabama 2012 democrat, bid 1",795696.0
"Alabama 2012 democrat, bid 2",397848.0
"Alabama 2012 democrat, bid 3",265232.0
"Alabama 2012 democrat, bid 4",198924.0
"Alabama 2012 democrat, bid 5",159139.2
"Alabama 2012 democrat, bid 6",132616.0
"Alabama 2012 democrat, bid 7",113670.85714285714
"Alabama 2012 independent, bid 1",18706.0
"Alabama 2012 independent, bid 2",9353.0
"Alabama 2012 independent, bid 3",6235.333333333333
"Alabama 2012 independent, bid 4",4676.5
"Alabama 2012 independent, bid 5",3741.2
"Alabama 2012 independent, bid 6",3117.6666666666665
"Alabama 2012 independent, bid 7",2672.285714285714
"Alabama 2012 republican, bid 1",1255925.0
"Alabama 2012 republican, bid 2",627962.5
"Alabama 2012 republican, bid 3",418641.6666666667
"Alabama 2012 republican, bid 4",313981.25
"Alabama 2012 republican, bid 5",251185.0
"Alabama 2012 republican, bid 6",209320.83333333334
"Alabama 2012 republican, bid 7",179417.85714285713
"Alaska 2012 , bid 1",2870.0
"Alaska 2012 democrat, bid 1",122640.0
"Alaska 2012 green, bid 1",2917.0
"Alaska 2012 libertarian, bid 1",7392.0
"Alaska 2012 republican, bid 1",164676.0
"Arizona 2012 , bid 1",452.0
"Arizona 2012 , bid 2",226.0
"Arizona 2012 , bid 3",150.66666666666666
"Arizona 2012 , bid 4",113.0
"Arizona 2012 , bid 5",90.4
"Arizona 2012 , bid 6",75.33333333333333
"Arizona 2012 , bid 7",64.57142857142857
"Arizona 2012 , bid 8",56.5
"Arizona 2012 , bid 9",50.22222222222222
"Arizona 2012 democrat, bid 1",1025232.0
"Arizona 2012 democrat, bid 2",512616.0
"Arizona 2012 democrat, bid 3",341744.0
"Arizona 2012 democrat, bid 4",256308.0
"Arizona 2012 democrat, bid 5",205046.4
"Arizona 2012 democrat, bid 6",170872.0
"Arizona 2012 democrat, bid 7",146461.7142857143
"Arizona 2012 democrat, bid 8",128154.0
"Arizona 2012 democrat, bid 9",113914.66666666667
"Arizona 2012 green, bid 1",7816.0
"Arizona 2012 green, bid 2",3908.0
"Arizona 2012 green, bid 3",2605.3333333333335
